"Event","Phylum","Subphylum","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Species","Det_level","base_name","known_class","longlab"
"DEJU00320160831","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Stempellinella","Stempellinella edwardsi","Species","Stempellinella edwardsi","Diptera","Arthropoda_Insecta_Diptera"
"DEJU00320160831","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","NULL","Cratyna","Cratyna perplexa","Species","Cratyna perplexa","Diptera","Arthropoda_Insecta_Diptera"
"DEJU00320160831","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","indet.","indet.","indet.","Family","Cecidomyiidae","Diptera","Arthropoda_Insecta_Diptera"
"DEJU00320160831","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Muscoidea","Anthomyiidae","Anthomyiinae","Botanophila","Botanophila profuga","Species","Botanophila profuga","Diptera","Arthropoda_Insecta_Diptera"
"DEJU02120160720","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Noctuoidea","Noctuidae","Hadeninae","Coranarta","Coranarta luteola","Species","Coranarta luteola","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"DEJU02120160817","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Sternorrhyncha","Aphidomorpha","Aphidoidea","Aphididae","NULL","Cinara","Cinara nimbata","Species","Cinara nimbata","Hemiptera","Arthropoda_Insecta_Hemiptera"
"DEJU02120160831","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Muscoidea","Anthomyiidae","Anthomyiinae","Botanophila","Botanophila profuga","Species","Botanophila profuga","Diptera","Arthropoda_Insecta_Diptera"
"DELA01420160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","indet.","indet.","indet.","Family","Sciaridae","Diptera","Arthropoda_Insecta_Diptera"
"DELA01420160913","Arthropoda","Hexapoda","Insecta","Dicondylia","NULL","Coleoptera","Polyphaga","Cucujiformia","Cucujoidea","Nitidulidae","indet.","indet.","indet.","Family","Nitidulidae","Coleoptera","Arthropoda_Insecta_Coleoptera"
"HEAL01020160907","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Auchenorrhyncha","Cicadomorpha","Membracoidea","Cicadellidae","Typhlocybinae","Forcipata","Forcipata loca","Species","Forcipata loca","Hemiptera","Arthropoda_Insecta_Hemiptera"
"HEAL02620160615","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Linyphiidae","Erigoninae","Ceraticelus","Ceraticelus crassiceps","Species","Ceraticelus crassiceps","Araneae","Arthropoda_Arachnida_Araneae"
"HEAL02620160727","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Geometroidea","Geometridae","Ennominae","Cabera","indet.","Genus","Cabera","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"HEAL02620160727","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Dictynoidea","Hahniidae","NULL","Hahnia","Hahnia cinerea","Species","Hahnia cinerea","Araneae","Arthropoda_Arachnida_Araneae"
"HEAL02620160727","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Brachypylina","Tectocepheoidea","Tectocepheidae","NULL","Tectocepheus","indet.","Genus","Tectocepheus","Acari","Arthropoda_Arachnida_Acari"
"HEAL02620160727","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Linyphiidae","Erigoninae","Ceraticelus","Ceraticelus crassiceps","Species","Ceraticelus crassiceps","Araneae","Arthropoda_Arachnida_Araneae"
"HEAL02620160727","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Ceratopogonidae","Ceratopogoninae","Culicoides","Culicoides newsteadi","Species","Culicoides newsteadi","Diptera","Arthropoda_Insecta_Diptera"
