"Event","Phylum","Subphylum","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Species","Det_level","base_name","known_class","longlab"
"DEJU00320160817","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Salticidae","Euophryinae","Neon","Neon nelli","Species","Neon nelli","Araneae","Arthropoda_Arachnida_Araneae"
"DEJU00320160817","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","NULL","Asteromyia","indet.","Genus","Asteromyia","Diptera","Arthropoda_Insecta_Diptera"
"DEJU00320160817","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","Scaphidiinae","Scaphium","Scaphium castanipes","Species","Scaphium castanipes","Coleoptera","Arthropoda_Insecta_Coleoptera"
"DEJU00320160817","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Anystina","Anystoidea","Anystidae","indet.","indet.","indet.","Family","Anystidae","Acari","Arthropoda_Arachnida_Acari"
"DEJU00320160831","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Mycetophilidae","Sciophilinae","Mycomya","Mycomya pulchella","Species","Mycomya pulchella","Diptera","Arthropoda_Insecta_Diptera"
"DEJU02120160720","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Psocodea","Psocomorpha","Caeciliusetae","Caeciliusoidea","Caeciliusidae","Caeciliusinae","Valenzuela","indet.","Genus","Valenzuela",NA,"NA_NA_NA"
"DEJU02120160720","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Dictynoidea","Hahniidae","NULL","Hahnia","Hahnia ononidum","Species","Hahnia ononidum","Araneae","Arthropoda_Arachnida_Araneae"
"DEJU02120160720","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Arctosa","Arctosa insignita","Species","Arctosa insignita","Araneae","Arthropoda_Arachnida_Araneae"
"DEJU02120160720","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Gnaphosidae","NULL","Micaria","Micaria aenea","Species","Micaria aenea","Araneae","Arthropoda_Arachnida_Araneae"
"DEJU02120160720","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","NULL","Dichopygina","Dichopygina aculeata","Species","Dichopygina aculeata","Diptera","Arthropoda_Insecta_Diptera"
"DELA00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Tipulomorpha","Tipuloidea","Limoniidae","Chioneinae","Molophilus","indet.","Genus","Molophilus","Diptera","Arthropoda_Insecta_Diptera"
"DELA00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","indet.","indet.","indet.","Family","Staphylinidae","Coleoptera","Arthropoda_Insecta_Coleoptera"
"DELA00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Simuliidae","Simuliinae","Simulium","indet.","Genus","Simulium","Diptera","Arthropoda_Insecta_Diptera"
"DELA00620160705","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia laha","Species","Homidia laha","Collembola","Arthropoda_Collembola_Collembola"
"DELA00620160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Loxoblemmus","Loxoblemmus equestris","Species","Loxoblemmus equestris","Orthoptera","Arthropoda_Insecta_Orthoptera"
"DELA00620160913","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Homidia","Homidia laha","Species","Homidia laha","Collembola","Arthropoda_Collembola_Collembola"
"DELA00620160913","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Loxoblemmus","Loxoblemmus equestris","Species","Loxoblemmus equestris","Orthoptera","Arthropoda_Insecta_Orthoptera"
"DELA01420160705","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","Aleocharinae","Stethusa","Stethusa spuriella","Species","Stethusa spuriella","Coleoptera","Arthropoda_Insecta_Coleoptera"
"DELA01420160705","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","NULL","Erythraeoidea","Erythraeidae","NULL","Leptus","indet.","Genus","Leptus","Acari","Arthropoda_Arachnida_Acari"
"DELA01420160705","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Culex","Culex erraticus","Species","Culex erraticus","Diptera","Arthropoda_Insecta_Diptera"
"DELA01420160705","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius fasciatus","Species","Allonemobius fasciatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"DELA01420160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Noctuoidea","Noctuidae","Noctuinae","Anicla","Anicla infecta","Species","Anicla infecta","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"DELA01420160913","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Loxoblemmus","Loxoblemmus equestris","Species","Loxoblemmus equestris","Orthoptera","Arthropoda_Insecta_Orthoptera"
"DELA01420160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","indet.","indet.","indet.","Family","Cecidomyiidae","Diptera","Arthropoda_Insecta_Diptera"
"GUAN00820161003","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Arctosa","Arctosa insignita","Species","Arctosa insignita","Araneae","Arthropoda_Arachnida_Araneae"
"HEAL01020160907","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","Scaphidiinae","Scaphium","Scaphium castanipes","Species","Scaphium castanipes","Coleoptera","Arthropoda_Insecta_Coleoptera"
"HEAL01020160907","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","NULL","Dichopygina","Dichopygina aculeata","Species","Dichopygina aculeata","Diptera","Arthropoda_Insecta_Diptera"
"HEAL02620160615","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Orthocladiinae","Metriocnemus","Metriocnemus eurynotus","Species","Metriocnemus eurynotus","Diptera","Arthropoda_Insecta_Diptera"
"HEAL02620160615","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","NULL","Dichopygina","Dichopygina aculeata","Species","Dichopygina aculeata","Diptera","Arthropoda_Insecta_Diptera"
"HEAL02620160615","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Psocodea","Psocomorpha","Caeciliusetae","Caeciliusoidea","Caeciliusidae","Caeciliusinae","Valenzuela","Valenzuela flavidus","Species","Valenzuela flavidus",NA,"NA_NA_NA"
"HEAL02620160727","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Sternorrhyncha","Aphidomorpha","Aphidoidea","Aphididae","Aphidinae","Iziphya","indet.","Genus","Iziphya","Hemiptera","Arthropoda_Insecta_Hemiptera"
"HEAL02620160727","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","NULL","Dichopygina","Dichopygina aculeata","Species","Dichopygina aculeata","Diptera","Arthropoda_Insecta_Diptera"
"HEAL02620160907","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Simuliidae","Simuliinae","Helodon","Helodon pleuralis","Species","Helodon pleuralis","Diptera","Arthropoda_Insecta_Diptera"
"HEAL02620160907","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","Scaphidiinae","Scaphium","Scaphium castanipes","Species","Scaphium castanipes","Coleoptera","Arthropoda_Insecta_Coleoptera"
"HEAL02620160907","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","NULL","Eupodoidea","Eupodidae","indet.","indet.","indet.","Family","Eupodidae","Acari","Arthropoda_Arachnida_Acari"
"HEAL02620160907","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Sternorrhyncha","Aphidomorpha","Aphidoidea","Aphididae","Aphidinae","Iziphya","indet.","Genus","Iziphya","Hemiptera","Arthropoda_Insecta_Hemiptera"
"JORN01020160419","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Pyraloidea","Pyralidae","Epipaschiinae","Pococera","Pococera aplastella","Species","Pococera aplastella","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"JORN01020160712","Arthropoda","Hexapoda","Insecta","Pterygota","Neuroptida","Neuroptera","Hemerobiiformia","NULL","NULL","Chrysopidae","Chrysopinae","Eremochrysa","Eremochrysa punctinervis","Species","Eremochrysa punctinervis",NA,"NA_NA_NA"
"JORN01020160712","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","Cecidomyiinae","Sitodiplosis","Sitodiplosis mosellana","Species","Sitodiplosis mosellana","Diptera","Arthropoda_Insecta_Diptera"
"JORN01020160712","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Tanytarsus","Tanytarsus formosanus","Species","Tanytarsus formosanus","Diptera","Arthropoda_Insecta_Diptera"
"KONZ00720160614","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Psocodea","Psocomorpha","Caeciliusetae","Caeciliusoidea","Caeciliusidae","Caeciliusinae","Valenzuela","indet.","Genus","Valenzuela",NA,"NA_NA_NA"
"KONZ00720160614","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Isotomoidea","Isotomidae","indet.","indet.","indet.","Family","Isotomidae","Collembola","Arthropoda_Collembola_Collembola"
"KONZ00720160906","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Schizocosa","Schizocosa bilineata","Species","Schizocosa bilineata","Araneae","Arthropoda_Arachnida_Araneae"
"KONZ02520160405","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","indet.","Bradysia","Bradysia trivittata","Species","Bradysia trivittata","Diptera","Arthropoda_Insecta_Diptera"
"KONZ02520160405","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Rabidosa","Rabidosa rabida","Species","Rabidosa rabida","Araneae","Arthropoda_Arachnida_Araneae"
"KONZ02520160614","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius fasciatus","Species","Allonemobius fasciatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"KONZ02520160906","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"KONZ02520160906","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Culex","Culex erraticus","Species","Culex erraticus","Diptera","Arthropoda_Insecta_Diptera"
"KONZ02520160906","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Sternorrhyncha","Aphidomorpha","Aphidoidea","Pemphigidae","Pemphiginae","Pemphigus","Pemphigus populiramulorum","Species","Pemphigus populiramulorum","Hemiptera","Arthropoda_Insecta_Hemiptera"
"LENO00220160601","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Culex","Culex erraticus","Species","Culex erraticus","Diptera","Arthropoda_Insecta_Diptera"
"LENO00220160601","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Theridiosomatidae","NULL","Yunohamella","Yunohamella lyrica","Species","Yunohamella lyrica","Araneae","Arthropoda_Arachnida_Araneae"
"LENO00220161005","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","indet.","Drosophila","indet.","Genus","Drosophila","Diptera","Arthropoda_Insecta_Diptera"
"LENO00320160810","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Platypezoidea","Phoridae","Metopininae","Megaselia","indet.","Genus","Megaselia","Diptera","Arthropoda_Insecta_Diptera"
"LENO00320160810","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius fasciatus","Species","Allonemobius fasciatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"LENO00320160810","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","NULL","Erythraeoidea","Erythraeidae","NULL","Leptus","indet.","Genus","Leptus","Acari","Arthropoda_Arachnida_Acari"
"LENO00320161005","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Theridiosomatidae","NULL","Yunohamella","Yunohamella lyrica","Species","Yunohamella lyrica","Araneae","Arthropoda_Arachnida_Araneae"
"LENO00320161005","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Loxoblemmus","Loxoblemmus equestris","Species","Loxoblemmus equestris","Orthoptera","Arthropoda_Insecta_Orthoptera"
"MOAB00320160419","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Thomisidae","NULL","Xysticus","Xysticus bicuspis","Species","Xysticus bicuspis","Araneae","Arthropoda_Arachnida_Araneae"
"MOAB00320161004","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Noctuoidea","Noctuidae","Xyleninae","Pseudanarta","Pseudanarta flava","Species","Pseudanarta flava","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"MOAB00320161004","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Muscoidea","Muscidae","Phaoninae","Helina","Helina troene","Species","Helina troene","Diptera","Arthropoda_Insecta_Diptera"
"MOAB00420160419","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Tineoidea","Bucculatricidae","indet.","indet.","indet.","Family","Bucculatricidae","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"MOAB00420160712","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Geolycosa","Geolycosa rafaelana","Species","Geolycosa rafaelana","Araneae","Arthropoda_Arachnida_Araneae"
"MOAB00420161004","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Ephydroidea","Drosophilidae","indet.","Drosophila","indet.","Genus","Drosophila","Diptera","Arthropoda_Insecta_Diptera"
"MOAB00420161004","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Tanytarsus","Tanytarsus formosanus","Species","Tanytarsus formosanus","Diptera","Arthropoda_Insecta_Diptera"
"NIWO00220160628","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Brachypylina","Eremaeoidea","Eremaeidae","NULL","Eueremaeus","indet.","Genus","Eueremaeus","Acari","Arthropoda_Arachnida_Acari"
"NIWO00220160628","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Adephaga","NULL","Caraboidea","Carabidae","Nebriinae","Notiophilus","Notiophilus sylvaticus","Species","Notiophilus sylvaticus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NIWO00220160628","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Sphaeroceroidea","Sphaeroceridae","Limosininae","Spelobia","Spelobia tufta","Species","Spelobia tufta","Diptera","Arthropoda_Insecta_Diptera"
"NIWO00220160628","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","indet.","indet.","indet.","Family","Sciaridae","Diptera","Arthropoda_Insecta_Diptera"
"NIWO00220160809","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Linyphiidae","NULL","Pityohyphantes","Pityohyphantes alticeps","Species","Pityohyphantes alticeps","Araneae","Arthropoda_Arachnida_Araneae"
"NIWO00220160809","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Yponomeutoidea","Argyresthiidae","NULL","Argyresthia","Argyresthia flexilis","Species","Argyresthia flexilis","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"NIWO00220160906","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","Aleocharinae","Oxypoda","Oxypoda pseudoconvergens","Species","Oxypoda pseudoconvergens","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NIWO00220160906","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Sternorrhyncha","Aphidomorpha","Aphidoidea","Pemphigidae","Pemphiginae","Pemphigus","Pemphigus populiramulorum","Species","Pemphigus populiramulorum","Hemiptera","Arthropoda_Insecta_Hemiptera"
"NIWO00320160628","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Thomisidae","NULL","Xysticus","Xysticus cunctator","Species","Xysticus cunctator","Araneae","Arthropoda_Arachnida_Araneae"
"NIWO00320160628","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Gnaphosidae","NULL","Haplodrassus","Haplodrassus signifer","Species","Haplodrassus signifer","Araneae","Arthropoda_Arachnida_Araneae"
"NIWO00320160628","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","indet.","indet.","indet.","Family","Cecidomyiidae","Diptera","Arthropoda_Insecta_Diptera"
"NIWO00320160628","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Papilionoidea","Nymphalidae","Nymphalinae","Euphydryas","Euphydryas editha","Species","Euphydryas editha","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"NIWO00320160726","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Philodromidae","NULL","Thanatus","Thanatus rubicellus","Species","Thanatus rubicellus","Araneae","Arthropoda_Arachnida_Araneae"
"NIWO00320160726","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Papilionoidea","Nymphalidae","Nymphalinae","Euphydryas","Euphydryas editha","Species","Euphydryas editha","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"NIWO00320160906","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Papilionoidea","Nymphalidae","Nymphalinae","Euphydryas","Euphydryas editha","Species","Euphydryas editha","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"NIWO00320160906","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Cucujiformia","Cleroidea","Cleridae","Hydnocerinae","Phyllobaenus","Phyllobaenus subfasciatus","Species","Phyllobaenus subfasciatus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NIWO00320160906","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Papilionoidea","Lycaenidae","Polyommatinae","Aricia","Aricia shasta","Species","Aricia shasta","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"NIWO00320160906","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Philodromidae","NULL","Thanatus","Thanatus rubicellus","Species","Thanatus rubicellus","Araneae","Arthropoda_Arachnida_Araneae"
"NOGP00520160524","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius fasciatus","Species","Allonemobius fasciatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"NOGP00520160524","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Auchenorrhyncha","Fulgoromorpha","Fulgoroidea","Delphacidae","Delphacinae","indet.","indet.","Subfamily","Delphacinae","Hemiptera","Arthropoda_Insecta_Hemiptera"
"NOGP00520160524","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"NOGP00520160524","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Isotomoidea","Isotomidae","Isotominae","Isotoma","indet.","Genus","Isotoma","Collembola","Arthropoda_Collembola_Collembola"
"NOGP00520160524","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","NULL","Eupodoidea","Eupodidae","indet.","indet.","indet.","Family","Eupodidae","Acari","Arthropoda_Arachnida_Acari"
"NOGP00520160524","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Adephaga","NULL","Caraboidea","Carabidae","Harpalinae","Cyclotrachelus","Cyclotrachelus torvus","Species","Cyclotrachelus torvus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NOGP00520160719","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius fasciatus","Species","Allonemobius fasciatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"NOGP00520160719","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"NOGP00520160719","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Adephaga","NULL","Caraboidea","Carabidae","Harpalinae","Cyclotrachelus","Cyclotrachelus torvus","Species","Cyclotrachelus torvus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius fasciatus","Species","Allonemobius fasciatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Adephaga","NULL","Caraboidea","Carabidae","Harpalinae","Cyclotrachelus","Cyclotrachelus torvus","Species","Cyclotrachelus torvus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Gryllus","Gryllus pennsylvanicus","Species","Gryllus pennsylvanicus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"NOGP00520160913","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","NULL","Eupodoidea","Eupodidae","indet.","indet.","indet.","Family","Eupodidae","Acari","Arthropoda_Arachnida_Acari"
"NOGP00920160524","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Adephaga","NULL","Caraboidea","Carabidae","Harpalinae","Pterostichus","Pterostichus diligens","Species","Pterostichus diligens","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NOGP00920160719","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Silphidae","Nicrophorinae","Nicrophorus","Nicrophorus hybridus","Species","Nicrophorus hybridus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NOGP00920160913","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Thomisidae","NULL","Xysticus","Xysticus pellax","Species","Xysticus pellax","Araneae","Arthropoda_Arachnida_Araneae"
"OAES00520160406","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Trigonidiidae","Nemobiinae","Allonemobius","Allonemobius fasciatus","Species","Allonemobius fasciatus","Orthoptera","Arthropoda_Insecta_Orthoptera"
"OAES00520160406","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneuroptera","Blattodea","NULL","NULL","Blattoidea","Ectobiidae","Blattellinae","Parcoblatta","indet.","Genus","Parcoblatta","Blattodea","Arthropoda_Insecta_Blattodea"
"ONAQ00220160705","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Oestroidea","Tachinidae","Dexiinae","Microchaetina","Microchaetina valida","Species","Microchaetina valida","Diptera","Arthropoda_Insecta_Diptera"
"ONAQ02320160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Tanytarsus","Tanytarsus formosanus","Species","Tanytarsus formosanus","Diptera","Arthropoda_Insecta_Diptera"
"ORNL00120160329","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","NULL","Eupodoidea","Eupodidae","indet.","indet.","indet.","Family","Eupodidae","Acari","Arthropoda_Arachnida_Acari"
