event,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
LAJA01520160712,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0
LAJA01520161004,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0
LENO00220160601,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1
LENO00220160810,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
LENO00220161005,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0
LENO00320160601,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1
LENO00320160810,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0
LENO00320161005,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0
MOAB00320160419,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
MOAB00320160712,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
MOAB00320161004,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
MOAB00420160419,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
MOAB00420160712,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
MOAB00420161004,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0
NIWO00220160628,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
NIWO00220160809,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0
NIWO00220160906,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
NIWO00320160628,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0
NIWO00320160726,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NIWO00320160906,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NOGP00520160524,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0
NOGP00520160719,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0
NOGP00520160913,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
NOGP00920160524,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0
NOGP00920160719,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0
NOGP00920160913,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0
OAES00520160406,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1
OAES00520160629,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
OAES00720160406,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
OAES00720160907,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
ONAQ00220160426,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
ONAQ00220160705,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0
ONAQ00220160913,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
ONAQ02320160426,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
ONAQ02320160705,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0
ONAQ02320160913,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0
ORNL00120160329,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
ORNL00120160705,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ORNL00120160927,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
ORNL02120160329,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1
ORNL02120160705,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1
ORNL02120161011,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0
ORNL02920160329,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
ORNL02920160705,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0
ORNL02920161011,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
OSBS00120160407,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
OSBS00120160630,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
OSBS00120160908,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
OSBS00420160407,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
OSBS00420160630,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
OSBS00420160908,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0
OSBS02220160407,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0
OSBS02220160630,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
OSBS02220160908,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
SCBI00420160719,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0
SCBI00420160927,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0
SCBI00620160426,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1
SCBI00620160719,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
SCBI00620160927,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0
SERC00320160519,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0
SRER00120160412,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
SRER00120160719,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0
SRER00120161011,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0
SRER00620160426,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
SRER00620160719,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
SRER00620161011,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0
STEI00220160720,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
STEI00220160914,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1
STEI00820160511,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1
STEI00820160720,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1
STEI00820160914,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1
TALL00120160413,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
TALL00120160706,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0
TALL00120160914,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0
TALL00220160413,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
TALL00220160706,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
TALL00220160914,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1
TREE00120160517,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
TREE00120160712,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1
TREE00120160908,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1
TREE00220160517,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1
TREE00220160712,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1
TREE00220160908,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
TREE00320160517,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1
TREE00320160712,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
TREE00320160908,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1
UKFS00620160329,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
UKFS00620160705,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
UKFS00920160329,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
UKFS00920160705,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0
UKFS00920161011,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0
UNDE00320160524,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1
UNDE00320160719,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1
UNDE00320160913,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1
UNDE01720160524,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1
UNDE01720160719,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
UNDE01720160913,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0
WOOD00220160419,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
WOOD00220160628,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
WOOD00220160906,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0
WOOD02320160419,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0
WOOD02320160628,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0
WOOD02320160906,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0
