"Species","Genus","Subfamily","Family","Superfamily","Infraorder","Suborder","Order","Superorder","Subclass","Class","Subphylum","Phylum"
"Hymenoptera","Hymenoptera","Hymenoptera","Hymenoptera","Hymenoptera","Hymenoptera","Hymenoptera","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Ichneumonidae","Ichneumonidae","Ichneumonidae","Ichneumonidae","Ichneumonoidea","Parasitoida","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Isopoda","Isopoda","Isopoda","Isopoda","Isopoda","Isopoda","Isopoda","Isopoda","Peracarida","Eumalacostraca","Malacostraca","Crustacea","Arthropoda"
"Isotomidae","Isotomidae","Isotomidae","Isotomidae","Isotomoidea","Entomobryomorpha","Entomobryomorpha","Collembola","Collembola","Collembola","Collembola","Hexapoda","Arthropoda"
"Lasius","Lasius","Formicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Lepidocyrtus","Lepidocyrtus","Lepidocyrtinae","Entomobryidae","Entomobryoidea","Entomobryomorpha","Entomobryomorpha","Collembola","Collembola","Collembola","Collembola","Hexapoda","Arthropoda"
"Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera","Lepidoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Leptothorax","Leptothorax","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Limacidae","Limacidae","Limacidae","Limacidae","Limacoidea","Stylommatophora","Stylommatophora","Stylommatophora","Eupulmonata","Heterobranchia","Gastropoda","Mollusca","Mollusca"
"Linepithema","Linepithema","Dolichoderinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Mantidae","Mantidae","Mantidae","Mantidae","Mantodea","Mantodea","Mantodea","Mantodea","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Melolonthinae","Melolonthinae","Melolonthinae","Scarabaeidae","Scarabaeoidea","Scarabeiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
