Event,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Det_level
CPER00520160922,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Formicinae,Formica,Formica lasioides,Species
DEJU00320160720,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Prosterninae,Ctenicera,Ctenicera kendalli,Species
DELA01420160705,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Noctuoidea,Euteliidae,Euteliinae,Paectes,Paectes oculatrix,Species
HEAL01020160907,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Cicadellidae,Cicadellinae,Euscelis,Euscelis alpina,Species
HEAL02620160907,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Psychodomorpha,Trichoceroidea,Trichoceridae,indet.,indet.,indet.,Family
NOGP00520160913,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,Delia,indet.,Genus
OAES00520160406,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Gelechioidea,Elachistidae,Stenomatinae,Antaeotricha,indet.,Genus
OAES00520160406,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Heteroptera,Cimicomorpha,Miroidea,Cicadellidae,Deltocephalinae,Balclutha,Balclutha rubrostriata,Species
ORNL00120160705,Mollusca,NULL,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,NULL,NULL,Arionoidea,Philomycidae,NULL,Philomycus,indet.,Genus
ORNL00120160705,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Formicinae,Nylanderia,Nylanderia faisonensis,Species
SRER00120160719,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Hymenoptera,Apocrita,Aculeata,Vespoidea,Formicidae,Myrmicinae,Pheidole,Pheidole titanis,Species
TREE00120160908,Arthropoda,Chelicerata,Arachnida,Acari,Parasitiformes,Mesostigmata,Monogynaspida,Gamasina,Eviphidoidea,Parasitidae,indet.,indet.,indet.,Family
CLBJ03220160914,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,indet.,indet.,indet.,Family
CPER00520160714,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Adephaga,NULL,Caraboidea,Carabidae,Harpalinae,Discoderus,Discoderus parallelus,Species
DEJU00320160720,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Aphididae,Calaphidinae,Boernerina,Boernerina variabilis,Species
DEJU00320160817,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,NULL,Philodromidae,NULL,Philodromus,Philodromus rufus,Species
DEJU00320160817,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,Sciophilinae,indet.,indet.,Subfamily
DEJU00320160831,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Bibionoidea,Bibionidae,Bibioninae,Bibio,indet.,Genus
DELA00620160426,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus veletis,Species
DELA00620160913,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Loxoblemmus,Loxoblemmus doenitzi,Species
DELA01420160426,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,NULL,Anyphaenidae,NULL,Hibana,Hibana gracilis,Species
HEAL02620160907,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Simuliidae,Simuliinae,Simulium,indet.,Genus
KONZ02520160614,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Tineoidea,Acrolophidae,NULL,Acrolophus,Acrolophus texanella,Species
KONZ02520160614,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Papilionoidea,Nymphalidae,Limenitidinae,Asterocampa,Asterocampa celtis,Species
KONZ02520160614,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus pennsylvanicus,Species
KONZ02520160614,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Adephaga,NULL,Caraboidea,Carabidae,Harpalinae,Abacidus,Abacidus permundus,Species
KONZ02520160614,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,indet.,indet.,indet.,Family
LENO00220160601,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Aphididae,Calaphidinae,Takecallis,Takecallis arundinariae,Species
LENO00220160810,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,NULL,Culicidae,Culicinae,Culex,Culex erraticus,Species
LENO00220161005,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,NULL,Bradysia,Bradysia impatiens,Species
LENO00220161005,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Bibionoidea,Bibionidae,Pleciinae,Plecia,Plecia nearctica,Species
LENO00220161005,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,indet.,indet.,indet.,Family
NIWO00220160809,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Pentatomidae,Pentatominae,Thyanta,Thyanta accerra,Species
NIWO00320160628,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Empidoidea,Empididae,Empidinae,Anthepiscopus,indet.,Genus
NIWO00320160726,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Hymenoptera,Apocrita,Parasitoidea,Ichneumonoidea,Braconidae,Aphidiinae,Aphidius,indet.,Genus
NOGP00520160524,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Gelechioidea,Gelechiidae,Gelechiinae,Chionodes,indet.,Genus
NOGP00520160913,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Polyphaga,Cucujiformia,Cleroidea,Melyridae,Malachiinae,Attalus,Attalus pallifrons,Species
NOGP00520160913,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Oribatida,Brachypylina,Oppioidea,Oppiidae,Oppiinae,Oppia,indet.,Genus
NOGP00520160913,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Oribatida,Brachypylina,Tectocepheoidea,Tectocepheidae,NULL,Tectocepheus,indet.,Genus
OAES00720160907,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Platypezoidea,Phoridae,Metopininae,Megaselia,indet.,Genus
OAES00720160907,Arthropoda,Hexapoda,Insecta,Dicondylia,NULL,Coleoptera,Polyphaga,Cucujiformia,Cucujoidea,Latridiidae,Corticariinae,Corticarina,Corticarina longipennis,Species
ONAQ02320160705,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Pemphigidae,Pemphiginae,Pemphigus,Pemphigus betae,Species
ONAQ02320160913,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Noctuoidea,Erebidae,Arctiinae,Hyphantria,Hyphantria cunea,Species
ORNL00120160927,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Lachnidae,NULL,Longistigma,Longistigma caryae,Species
ORNL02120160705,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Schizocosa,Schizocosa bilineata,Species
ORNL02920160705,Arthropoda,Myriapoda,Chilopoda,Pleurostigmophora,NULL,Scolopendromorpha,NULL,NULL,NULL,Cryptopidae,NULL,Scolopocryptops,Scolopocryptops sexspinosus,Species
OSBS00420160908,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Bombycoidea,Sphingidae,Sphinginae,Lapara,Lapara coniferarum,Species
SCBI00620160426,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,NULL,Pseudolycoriella,indet.,Genus
SCBI00620160426,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Schizocosa,Schizocosa bilineata,Species
SCBI00620160426,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,indet.,indet.,indet.,Family
SCBI00620160426,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,Drosophilinae,Drosophila,Drosophila affinis,Species
